"","fit","lwr","upr"
"1",8.62003843438068,8.55029246917107,8.68978439959029
"2",7.98817286042913,7.94009372700504,8.03625199385321
"3",9.56741239476945,9.47902673737204,9.65579805216686
"4",7.95334896064536,7.88014973368125,8.02654818760947
"5",8.05171652602306,7.9924032099533,8.11102984209283
"6",8.30716164004041,8.23393257997811,8.38039070010271
"7",8.49625097499946,8.42560505578722,8.5668968942117
"8",7.81322193295375,7.73172146894124,7.89472239696625
"9",8.07311329783187,7.99985450723187,8.14637208843187
"10",9.63367177715659,9.5664768055399,9.70086674877328
"11",9.0226210602372,8.9443584729793,9.1008836474951
"12",7.93432587279931,7.888267360381,7.98038438521763
"13",8.48304261994971,8.42132401831702,8.54476122158239
"14",8.45577711977344,8.39271969370282,8.51883454584405
"15",8.52582653199847,8.46758827270417,8.58406479129277
"16",8.41958435880099,8.35279258149121,8.48637613611076
"17",8.51856897993036,8.44119037645333,8.59594758340739
"18",8.43762719935932,8.38031314670052,8.49494125201811
"19",8.52525987741509,8.47286751508229,8.57765223974788
"20",7.94224282995486,7.90014458616235,7.98434107374737
"21",8.56040846341409,8.51349718556053,8.60731974126765
"22",9.09699319490831,9.05212801774003,9.14185837207659
"23",8.94845339067474,8.87160402796671,9.02530275338276
"24",8.57506431329371,8.50747295385906,8.64265567272836
"25",9.18723562075632,9.13482467993863,9.23964656157401
"26",9.10666380023927,9.0605923730606,9.15273522741794
"27",8.93347083617128,8.85395386058142,9.01298781176115
"28",9.56104594687444,9.47003367462623,9.65205821912265
"29",8.52504630427822,8.47585336247934,8.57423924607709
"30",7.93145474558443,7.88290354118811,7.98000594998075
"31",8.05651234176569,7.98512121657866,8.12790346695271
"32",8.50070016423012,8.42767893250091,8.57372139595932
"33",8.61442962992123,8.55722594271294,8.67163331712952
"34",7.99511924066747,7.92521283769855,8.06502564363639
"35",9.55782339370326,9.48960530503052,9.62604148237601
"36",8.4236392045443,8.3644763055545,8.48280210353411
"37",9.09808753696022,9.02473813971536,9.17143693420509
"38",8.5680174452051,8.50864643071182,8.62738845969838
"39",7.89947660310536,7.83538850920712,7.9635646970036
"40",7.86898836092171,7.81854979785836,7.91942692398506
"41",10.2345292661499,10.1656949128696,10.3033636194302
"42",7.94461435923622,7.86766023866303,8.02156847980941
"43",7.97026525571282,7.91853740357556,8.02199310785008
"44",9.13669417715862,9.07460440764342,9.19878394667381
"45",8.52825941259081,8.47707456083487,8.57944426434675
"46",8.52622498715224,8.47058823635221,8.58186173795226
"47",7.9537267426285,7.91410811208589,7.99334537317111
"48",8.47761542043951,8.43171587597969,8.52351496489933
"49",7.93244634301657,7.87742475940564,7.98746792662751
"50",8.045918970869,7.98412636395321,8.10771157778479
"51",7.90698528826404,7.8519143645617,7.96205621196638
"52",7.88318159551941,7.82467593853917,7.94168725249965
"53",8.42888985945929,8.35758803800186,8.50019168091672
"54",8.45598462119771,8.37709994954148,8.53486929285393
"55",9.67716711943459,9.62601833805742,9.72831590081177
"56",8.1077500592301,8.04480641688925,8.17069370157095
"57",8.52631543707932,8.48842013432917,8.56421073982946
"58",9.19140783420084,9.10519361980839,9.27762204859329
"59",7.88366575701705,7.80671135056942,7.96062016346469
"60",7.95022745943279,7.88909685712839,8.0113580617372
"61",8.5873896591871,8.49231931136337,8.68246000701083
"62",9.13271441077242,9.08156729435668,9.18386152718817
"63",9.10118687965207,9.0604897287482,9.14188403055594
"64",7.865606457344,7.78033867079669,7.95087424389132
"65",7.78589730210934,7.7155059833144,7.85628862090427
"66",7.82227960588875,7.75266858474175,7.89189062703575
"67",9.06034996385118,9.00908136347488,9.11161856422749
"68",8.95307400991693,8.86409969985502,9.04204831997885
"69",8.63845910204157,8.56082702906114,8.71609117502199
"70",7.91181517244647,7.85658399191187,7.96704635298106
"71",7.82404886754818,7.75137365471658,7.89672408037978
"72",9.11937841145523,9.05527503360898,9.18348178930147
"73",9.26330588834302,9.16261294558572,9.36399883110033
"74",8.5161107984871,8.46120353585582,8.57101806111837
"75",7.90499132249925,7.8508797048503,7.95910294014819
"76",8.52448594785026,8.45773484313836,8.59123705256217
"77",7.76155242331421,7.69353944028548,7.82956540634294
"78",8.00019465888886,7.94228784286108,8.05810147491665
"79",7.86997022939486,7.78064019182588,7.95930026696385
"80",8.43073921750813,8.36185458895902,8.49962384605724
"81",7.85578293749746,7.78746455470438,7.92410132029054
"82",8.53434322624035,8.48685042058134,8.58183603189937
"83",8.45951099050762,8.40288261833263,8.51613936268262
"84",7.9806177496554,7.91056042054513,8.05067507876566
"85",8.49002469379865,8.41272185628376,8.56732753131355
"86",8.9722374961607,8.91473996979145,9.02973502252994
